Reference, Value, Footprint, Datasheet
J1,Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J2,Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J3,Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J4,Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
D1,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D8,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D15,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D2,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D9,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D16,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D3,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D10,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D17,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
R1,33R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
D4,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D11,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D18,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D5,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D12,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D19,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D6,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D13,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D20,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D7,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D14,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D21,LED,Diode_SMD:D_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
R2,33R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R3,33R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R4,33R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R5,33R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R6,33R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R7,33R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
